gene_id	name	dependency_score	essential	retained
b3607	cysE	1	essential	1
b3187	ispB	1	essential	0
b0907	serC	1	essential	1
b1281	pyrF	1	essential	1
b3843	ubiD	1	essential	0
b2311	ubiX	1	essential	0
b0778	bioD	1	essential	1
b3041	ribB	1	essential	1
b0175	cdsA	1	essential	0
b3809	dapF	1	essential	1
b3991	thiG	1	essential	0
b3642	pyrE	1	essential	1
b2838	lysA	1	essential	1
b2263	menH	1	essential	0
b3368	cysG	1	essential	1
b0121	speE	1	essential	1
b3774	ilvC	1	essential	1
b0103	coaE	1	essential	1
b0776	bioF	1	essential	0
b1264	trpE	1	essential	0
b3939	metB	1	essential	0
b1263	trpD	1	essential	1
b0414	ribD	1	essential	0
b3058	folB	1	essential	0
b0736	ybgC	1	essential	0
b2262	menB	1	essential	0
b3433	asd	1	essential	1
b3930	menA	1	essential	0
b1288	fabI	1	essential	0
b2315	folC	1	essential	1
b2478	dapA	1	essential	1
b0031	dapB	1	essential	1
b0420	dxs	1	essential	1
b0586	entF	1	essential	0
b2751	cysN	1	essential	1
b0594	entE	1	essential	0
b0596	entA	1	essential	0
b2752	cysD	1	essential	1
b3172	argG	1	essential	0
b3771	ilvD	1	essential	1
b3960	argH	1	essential	1
b3648	gmk	1	essential	1
b2472	dapE	1	essential	1
b1098	tmk	1	essential	1
b2264	menD	1	essential	0
b0173	dxr	1	essential	0
b0720	gltA	1	essential	0
b3992	thiF	1	essential	0
b3990	thiH	1	essential	0
b1912	pgsA	1	essential	0
b0423	thiI	1	essential	0
b4407	thiS	1	essential	0
b2818	argA	1	essential	1
b3959	argB	1	essential	1
b0781	moaA	1	essential	0
b2827	thyA	1	essential	1
b0386	proC	1	essential	0
b0417	thiL	1	essential	1
b0914	msbA	1	essential	0
b3993	thiE	1	essential	0
b3412	bioH	1	essential	0
b3974	coaA	1	essential	0
b1260	trpA	1	essential	1
b1261	trpB	1	essential	1
b3255	accB	1	essential	0
b3256	accC	1	essential	0
b2316	accD	1	essential	0
b0185	accA	1	essential	0
b0783	moaC	1	essential	0
b3994	thiC	1	essential	0
b3833	ubiE	1	essential	0
b0774	bioA	1	essential	1
b0133	panC	1	essential	1
b2260	menE	1	essential	0
b0087	mraY	1	essential	1
b2261	menC	1	essential	0
b2762	cysH	1	essential	0
b3199	lptC	1	essential	0
b3200	lptA	1	essential	0
b4262	lptG	1	essential	0
b2780	pyrG	1	essential	0
b3201	lptB	1	essential	0
b3957	argE	1	essential	1
b0052	pdxA	1	essential	0
b1091	fabH	1	essential	0
b2564	pdxJ	1	essential	0
b2320	pdxB	1	essential	0
b2038	rfbC	1	essential	0
b2040	rfbD	1	essential	0
b0915	lpxK	1	essential	0
b3176	glmM	1	essential	1
b0166	dapD	1	essential	1
b4261	lptF	1	essential	0
b2877	mocA	1	essential	0
b2020	hisD	1	essential	1
b2022	hisB	1	essential	1
b1092	fabD	1	essential	0
b0134	panB	1	essential	1
b0009	mog	1	essential	0
b1069	murJ	1	essential	1
b0154	hemL	1	essential	0
b0785	moaE	1	essential	0
b0826	moeB	1	essential	0
b1062	pyrC	1	essential	1
b3941	metF	1	essential	1
b2103	thiD	1	essential	0
b0142	folK	1	essential	0
b3608	gpsA	1	essential	0
b2400	gltX	1	essential	1
b0003	thrB	1	essential	1
b1210	hemA	1	essential	0
b4013	metA	1	essential	0
b3967	murI	1	essential	1
b2021	hisC	1	essential	1
b2312	purF	1	essential	0
b3805	hemC	1	essential	1
b1277	ribA	1	essential	1
b2153	folE	1	essential	0
b2947	gshB	1	essential	1
b2942	metK	1	essential	1
b2747	ispD	1	essential	1
b2746	ispF	1	essential	1
b2515	ispG	1	essential	1
b0025	ribF	1	essential	1
b4040	ubiA	1	essential	0
b0784	moaD	1	essential	0
b3052	hldE	1	essential	0
b3624	waaZ	1	essential	0
b0428	cyoE	1	essential	1
b3630	waaP	1	essential	0
b3625	waaY	1	essential	0
b3621	waaC	1	essential	0
b3620	waaF	1	essential	0
b2507	guaA	1	essential	0
b3632	waaQ	1	essential	0
b3623	waaU	1	essential	0
b3730	glmU	1	essential	1
b0200	gmhB	1	essential	0
b3633	waaA	1	essential	0
b0109	nadC	1	essential	0
b0073	leuB	1	essential	0
b0072	leuC	1	essential	0
b0071	leuD	1	essential	0
b0928	aspC	1	essential	0
b1415	aldA	1	essential	0
b0074	leuA	1	essential	0
