gene	b_number	fba_dep_full	fba_dep_ltee_env	string_ppi_degree	niche_mismatch	first_gen
mokC	b0018	NA	NA	NA	NA	0
mutT	b0099	0	0	14	0	1000
dnaE	b0184	NA	NA	82	NA	0
yahL	b0326	NA	NA	8	NA	52000
yahO	b0329	NA	NA	8	NA	21000
prpR	b0330	NA	NA	6	NA	0
mhpR	b0346	NA	NA	18	NA	500
yaiO	b0358	NA	NA	2	NA	53500
dxs	b0420	1	1	30	0	7500
mdlA	b0448	NA	NA	18	NA	0
kefA	b0465	NA	NA	4	NA	0
ybaL	b0478	NA	NA	NA	NA	2500
copA	b0484	0	2.37330542418647e-15	14	0	4000
ybbN	b0492	NA	NA	32	NA	0
ppiB	b0525	NA	NA	12	NA	24500
ybcK	b0544	NA	NA	2	NA	45000
cusS	b0570	NA	NA	30	NA	12500
cusS	b0570	NA	NA	30	NA	21500
cusR	b0571	NA	NA	22	NA	10000
tatE	b0627	NA	NA	14	NA	23000
tatE	b0627	NA	NA	14	NA	23000
hscC	b0650	0	2.14727633616871e-15	18	0	11500
asnB	b0674	0	4.97263993639069e-15	38	0	0
galE	b0759	0	3.16440723224862e-15	30	0	37500
ybiX	b0804	NA	NA	16	NA	1000
ybiF	b0813	0	6.21579992048836e-15	6	0	37500
ybiF	b0813	0	6.21579992048836e-15	6	0	44000
ybiP	b0815	NA	NA	4	NA	8500
ybiR	b0818	NA	NA	2	NA	24500
ybjG	b0841	0	3.16440723224862e-15	12	0	4000
ybjX	b0877	NA	NA	NA	NA	2500
cydC	b0886	0	1.13014544008879e-14	78	0	1000
pflB	b0903	0	2.14727633616871e-15	148	0	50000
cmk	b0910	0.00204248419069354	0.00224593836176504	54	0	11500
ycbB	b0925	NA	NA	26	NA	4500
pncB	b0931	0	2.59933451220422e-15	36	0	45500
ycbQ	b0938	NA	NA	10	NA	39000
ycbU	b0942	NA	NA	12	NA	16000
yccV	b0966	NA	NA	8	NA	39000
appB	b0979	0	0	38	0	44000
yccE	b1001	NA	NA	6	NA	500
ycdC	b1013	NA	NA	6	NA	14000
ycdC	b1013	NA	NA	6	NA	5500
ycdS	b1024	NA	NA	12	NA	8000
ycdS	b1024	NA	NA	12	NA	19500
yceK	b1050	NA	NA	4	NA	5500
yceE	b1053	NA	NA	16	NA	20500
plsX	b1090	0	0	66	0	16500
yceG	b1097	NA	NA	42	NA	4500
ycfD	b1128	NA	NA	6	NA	40000
ycgG	b1168	NA	NA	28	NA	9000
ycgL	b1179	NA	NA	2	NA	22000
dhaR	b1201	NA	NA	10	NA	4500
chaA	b1216	0	0	12	0	25000
narK	b1223	0	0	36	0	4500
narG	b1224	0	3.16440723224862e-15	42	0	23000
oppB	b1244	0	0	54	0	18500
tonB	b1252	1	0	52	1	500
yciA	b1253	NA	NA	16	NA	45000
cysB	b1275	NA	NA	16	NA	2500
pgpB	b1278	0	1.58220361612431e-15	32	0	21000
yciR	b1285	NA	NA	44	NA	2000
sapB	b1293	NA	NA	50	NA	0
ycjV	b1318	NA	NA	NA	NA	29000
ycjY	b1327	NA	NA	6	NA	0
mppA	b1329	0	0	44	0	0
mppA	b1329	0	0	44	0	18000
ynbD	b1411	NA	NA	24	NA	35500
gapC	b4493	NA	NA	NA	NA	39000
hokB	b4428	NA	NA	18	NA	500
yncB	b1449	NA	NA	NA	NA	20500
narV	b1465	0	3.16440723224862e-15	28	0	7500
pqqL	b1494	NA	NA	16	NA	29500
pqqL	b1494	NA	NA	16	NA	31500
ydeT	b1505	NA	NA	NA	NA	1000
sotB	b1528	0	0	NA	0	37000
sotB	b1528	0	0	NA	0	37500
ydeE	b1534	NA	NA	6	NA	27500
ynfB	b1583	NA	NA	4	NA	3000
rstB	b1609	NA	NA	24	NA	37500
gst	b1635	NA	NA	22	NA	0
nemA	b1650	NA	NA	8	NA	14500
pykF	b1676	0	1.46918907211543e-15	208	0	4500
pykF	b1676	0	1.46918907211543e-15	208	0	2000
sufB	b1683	0	0	30	0	4000
ydiR	b1698	NA	NA	26	NA	21500
ydiA	b1703	NA	NA	8	NA	6500
ydiA	b1703	NA	NA	8	NA	19000
thrS	b1719	0	0	122	0	16000
celA	b1738	NA	NA	22	NA	27500
ydjQ	b1741	NA	NA	12	NA	45500
astE	b1744	0	1.46918907211543e-15	28	0	36000
ynjI	b1762	NA	NA	14	NA	4000
yeaE	b1781	0	0	NA	0	28000
otsA	b1896	0	3.61646540828414e-15	50	0	4000
shiA	b1981	0	8.13704716863931e-15	2	0	9000
cobS	b1992	0	0	14	0	34500
udk	b2066	0	0	38	0	1000
yegI	b2070	NA	NA	10	NA	2000
yegB	b2077	NA	NA	16	NA	1000
yegV	b2100	NA	NA	12	NA	10500
yegX	b2102	NA	NA	NA	NA	35500
molR	b4499	NA	NA	NA	NA	9500
yeiG	b2154	0	1.46918907211543e-15	16	0	0
yeiQ	b2172	NA	NA	6	NA	48000
bcr	b2182	NA	NA	2	NA	9000
yejO	b2190	NA	NA	NA	NA	38500
ccmA	b2201	0	0	38	0	5000
ccmA	b2201	0	0	38	0	11000
ompC	b2215	0	0	94	0	0
atoB	b2224	0	0	96	0	45500
yfaL	b2233	NA	NA	64	NA	42000
arnT	b2257	0	1.79693124974118e-14	44	0	23000
menC	b2261	1	0	24	1	3000
yfbB	b2263	1	0	28	1	1500
nuoA	b2288	0.110942324133761	0.110729155135694	52	0	0
accD	b2316	1	1	88	0	0
emrY	b2367	NA	NA	32	NA	34500
