gene	class
ACTL7A	convergent
ACTR8	convergent
AGXT2L1	convergent
AMDHD2	convergent
AP4M1	convergent
APCDD1	convergent
APPL1	convergent
ARFGAP2	convergent
ASPHD2	convergent
ATP6AP1	convergent
BBOX1	convergent
BCHE	convergent
BFAR	convergent
BNIPL	convergent
C14ORF133	convergent
C14ORF93	convergent
CAD	convergent
CALU	convergent
CCDC164	convergent
CDC37	convergent
CDC42BPG	convergent
CDK1	convergent
CDKL5	convergent
CEP70	convergent
CH25H	convergent
CHRDL2	convergent
CLCN1	convergent
COCH	convergent
COG3	convergent
CREB3L1	convergent
CSRP3	convergent
CTC1	convergent
CTSF	convergent
DDX1	convergent
DNALI1	convergent
DPAGT1	convergent
DRD1	convergent
E2F3	convergent
EIF2AK3	convergent
ELAC1	convergent
ELMOD3	convergent
EPG5	convergent
EPYC	convergent
ERCC3	convergent
ERGIC3	convergent
EXOSC2	convergent
FAIM2	convergent
FAM175A	convergent
FKBP15	convergent
FKTN	convergent
FNBP1L	convergent
FUT8	convergent
GCFC1	convergent
GPCPD1	convergent
GPR110	convergent
GPR139	convergent
GTF2IRD1	convergent
HEPACAM2	convergent
HMGXB4	convergent
ICMT	convergent
IL12A	convergent
ITGAL	convergent
ITM2B	convergent
JAGN1	convergent
JMJD6	convergent
KCNC1	convergent
LANCL1	convergent
LCAT	convergent
LEF1	convergent
LIF	convergent
LINGO1	convergent
LMAN1	convergent
LUC7L3	convergent
MAK16	convergent
MATN1	convergent
MCHR1	convergent
MCTS1	convergent
MDM1	convergent
MFSD11	convergent
MLF2	convergent
MPP5	convergent
MRE11A	convergent
MSH6	convergent
NAALADL1	convergent
NCDN	convergent
NOP56	convergent
NUMB	convergent
NYAP2	convergent
OLFM2	convergent
OPA1	convergent
PAFAH1B3	convergent
PAK1IP1	convergent
PAN3	convergent
PDE8B	convergent
PDHB	convergent
PIKFYVE	convergent
PPARD	convergent
PPARGC1B	convergent
PPM1J	convergent
PPP1R8	convergent
PRPF4	convergent
PSMD3	convergent
PSMD8	convergent
PSRC1	convergent
PUS7L	convergent
QRICH1	convergent
RAD23B	convergent
RALGPS2	convergent
RBM12	convergent
RCE1	convergent
RELA	convergent
RHBDD1	convergent
RHO	convergent
RSPRY1	convergent
SCAMP5	convergent
SEC63	convergent
SERPINF1	convergent
SERPINI2	convergent
SH3PXD2A	convergent
SIX6	convergent
SLC2A4	convergent
SLC44A1	convergent
SLC44A2	convergent
SLC4A11	convergent
SLITRK6	convergent
SMG9	convergent
SNX1	convergent
SORCS1	convergent
SPATA25	convergent
SPHK1	convergent
SPIN4	convergent
SPRYD4	convergent
ST3GAL6	convergent
STIM2	convergent
SUGP2	convergent
SUN5	convergent
SUV420H1	convergent
TACC1	convergent
TAF1A	convergent
TMEM101	convergent
TMEM54	convergent
TMPO	convergent
TNFAIP6	convergent
TP63	convergent
TPI1	convergent
TTC14	convergent
TUBD1	convergent
UBE2Z	convergent
UTP18	convergent
VPS4A	convergent
WDR74	convergent
XRCC2	convergent
ZBTB24	convergent
ATOH1	conserved
BMP2	conserved
BMP4	conserved
BMP7	conserved
BSND	conserved
CACNA1D	conserved
CDH23	conserved
CHRD	conserved
COCH	conserved
DIAPH1	conserved
DLX3	conserved
DLX5	conserved
DLX6	conserved
EMX2	conserved
ESPN	conserved
EYA1	conserved
EYA4	conserved
FGF10	conserved
FGF3	conserved
FGF8	conserved
FGFR1	conserved
FGFR2	conserved
GBX2	conserved
GJB2	conserved
GSC	conserved
HOXA1	conserved
HOXA2	conserved
HOXB1	conserved
HOXB2	conserved
KCNE1	conserved
KCNJ10	conserved
KCNQ1	conserved
KCNQ4	conserved
LHFPL5	conserved
LOXHD1	conserved
MITF	conserved
MSX1	conserved
MSX2	conserved
MYH14	conserved
MYO15A	conserved
MYO3A	conserved
MYO6	conserved
MYO7A	conserved
NEUROD1	conserved
NOG	conserved
OTOF	conserved
OTX2	conserved
PAX2	conserved
PAX3	conserved
PAX6	conserved
PCDH15	conserved
POU4F3	conserved
PTPRQ	conserved
RDX	conserved
SHH	conserved
SIX1	conserved
SIX2	conserved
SIX4	conserved
SLC17A8	conserved
SLC26A4	conserved
SLC26A5	conserved
SOX10	conserved
STRC	conserved
TBR1	conserved
TECTA	conserved
TMC1	conserved
TRIOBP	conserved
USH1C	conserved
USH2A	conserved
WFS1	conserved
WHRN	conserved
WNT1	conserved
WNT10B	conserved
WNT3	conserved
WNT3A	conserved
WNT5A	conserved
WNT7A	conserved
WNT9B	conserved
