society,population_estimate,types,components,most_complex,associations,tended,untended,source
Angmagsalik,1100,20,164,40,16,8,2,Oswalt1973
Caribou_Eskimos,2000,24,108,13,9,8,8,Oswalt1973
Paiute,2000,20,95,16,15,7,6,Oswalt1973
Nabesna,500,16,87,15,9,5,6,Oswalt1973
Yahgan,2500,19,69,10,15,5,1,Oswalt1973
Pitapita,13000,15,63,12,7,5,2,Oswalt1973
Andamanese,5000,9,45,18,5,3,0,Oswalt1973
Naron,2000,9,40,11,2,2,2,Oswalt1973
Arunta,3000,11,37,15,6,3,1,Oswalt1973
Ingura,1500,9,30,12,5,2,1,Oswalt1973
Seri,500,9,30,13,3,0,0,Oswalt1973
Tasmanians,4000,10,17,5,5,3,1,Oswalt1973
