society,population_estimate,subsistants,technounits,source
Angmagsalik,1100,33,202,Oswalt1976
Tareumiut,3000,35,205,Oswalt1976
Iglulik,800,27,122,Oswalt1976
Tanaina,5000,40,224,Oswalt1976
Ingalik,1500,55,296,Oswalt1976
Caribou_Eskimos,2000,34,118,Oswalt1976
Society_30,2000,25,105,Oswalt1976
Lepcha,25000,65,230,Oswalt1976
Ojibwa,15000,37,121,Oswalt1976
Aymara,20000,27,71,Oswalt1976
Huron,20000,48,237,Oswalt1976
Twana,2500,28,121,Oswalt1976
Tlingit,10000,43,151,Oswalt1976
Klamath,2000,11,15,Oswalt1976
Gwembe_Valley_Tonga,50000,54,210,Oswalt1976
Tanala,50000,47,175,Oswalt1976
Akamba,60000,38,132,Oswalt1976
Kapauku,45000,45,144,Oswalt1976
Trukese,9200,42,136,Oswalt1976
Jivaro,15000,16,51,Oswalt1976
Andamanese,5000,20,55,Oswalt1976
Tiwi,1600,11,14,Oswalt1976
Yuma,4000,14,43,Oswalt1976
Hopi,8000,35,84,Oswalt1976
Pima,10000,17,36,Oswalt1976
Owens_Valley_Paiute,2000,28,107,Oswalt1976
Naron_Bushmen,2000,12,40,Oswalt1976
Aranda,3000,16,42,Oswalt1976
Surprise_Valley_Paiute,800,39,97,Oswalt1976
