gene_id	name	ko_flux	dependency_score	essential
b3607	cysE	0.0	1.0	essential
b3187	ispB	0.0	1.0	essential
b0907	serC	0.0	1.0	essential
b1281	pyrF	0.0	1.0	essential
b3843	ubiD	0.0	1.0	essential
b2311	ubiX	0.0	1.0	essential
b0778	bioD	0.0	1.0	essential
b3041	ribB	0.0	1.0	essential
b0175	cdsA	0.0	1.0	essential
b3809	dapF	0.0	1.0	essential
b3991	thiG	0.0	1.0	essential
b3642	pyrE	0.0	1.0	essential
b2838	lysA	0.0	1.0	essential
b2263	menH	0.0	1.0	essential
b3368	cysG	0.0	1.0	essential
b0121	speE	0.0	1.0	essential
b3774	ilvC	0.0	1.0	essential
b0103	coaE	0.0	1.0	essential
b0776	bioF	0.0	1.0	essential
b1264	trpE	0.0	1.0	essential
b3939	metB	0.0	1.0	essential
b1263	trpD	0.0	1.0	essential
b0414	ribD	0.0	1.0	essential
b3058	folB	0.0	1.0	essential
b0736	ybgC	0.0	1.0	essential
b2262	menB	0.0	1.0	essential
b3433	asd	0.0	1.0	essential
b3930	menA	0.0	1.0	essential
b1288	fabI	0.0	1.0	essential
b2315	folC	0.0	1.0	essential
b2478	dapA	0.0	1.0	essential
b0031	dapB	0.0	1.0	essential
b0420	dxs	0.0	1.0	essential
b0586	entF	0.0	1.0	essential
b2751	cysN	0.0	1.0	essential
b0594	entE	0.0	1.0	essential
b0596	entA	0.0	1.0	essential
b2752	cysD	0.0	1.0	essential
b3172	argG	0.0	1.0	essential
b3771	ilvD	0.0	1.0	essential
b3960	argH	0.0	1.0	essential
b3648	gmk	0.0	1.0	essential
b2472	dapE	0.0	1.0	essential
b1098	tmk	0.0	1.0	essential
b2264	menD	0.0	1.0	essential
b0173	dxr	0.0	1.0	essential
b0720	gltA	0.0	1.0	essential
b3992	thiF	0.0	1.0	essential
b3990	thiH	0.0	1.0	essential
b1912	pgsA	0.0	1.0	essential
b0423	thiI	0.0	1.0	essential
b4407	thiS	0.0	1.0	essential
b2818	argA	0.0	1.0	essential
b3959	argB	0.0	1.0	essential
b0781	moaA	0.0	1.0	essential
b2827	thyA	0.0	1.0	essential
b0386	proC	0.0	1.0	essential
b0417	thiL	0.0	1.0	essential
b0914	msbA	0.0	1.0	essential
b3993	thiE	0.0	1.0	essential
b3412	bioH	0.0	1.0	essential
b3974	coaA	0.0	1.0	essential
b1260	trpA	0.0	1.0	essential
b1261	trpB	0.0	1.0	essential
b3255	accB	0.0	1.0	essential
b3256	accC	0.0	1.0	essential
b2316	accD	0.0	1.0	essential
b0185	accA	0.0	1.0	essential
b0783	moaC	0.0	1.0	essential
b3994	thiC	0.0	1.0	essential
b3833	ubiE	0.0	1.0	essential
b0774	bioA	0.0	1.0	essential
b0133	panC	0.0	1.0	essential
b2260	menE	0.0	1.0	essential
b0087	mraY	0.0	1.0	essential
b2261	menC	0.0	1.0	essential
b2762	cysH	0.0	1.0	essential
b3199	lptC	0.0	1.0	essential
b3200	lptA	0.0	1.0	essential
b4262	lptG	0.0	1.0	essential
b2780	pyrG	0.0	1.0	essential
b3201	lptB	0.0	1.0	essential
b3957	argE	0.0	1.0	essential
b0052	pdxA	0.0	1.0	essential
b1091	fabH	0.0	1.0	essential
b2564	pdxJ	0.0	1.0	essential
b2320	pdxB	0.0	1.0	essential
b2038	rfbC	0.0	1.0	essential
b2040	rfbD	0.0	1.0	essential
b0915	lpxK	0.0	1.0	essential
b3176	glmM	0.0	1.0	essential
b0166	dapD	0.0	1.0	essential
b4261	lptF	0.0	1.0	essential
b2877	mocA	0.0	1.0	essential
b2020	hisD	0.0	1.0	essential
b2022	hisB	0.0	1.0	essential
b1092	fabD	0.0	1.0	essential
b0134	panB	0.0	1.0	essential
b0009	mog	0.0	1.0	essential
b1069	murJ	0.0	1.0	essential
b0154	hemL	0.0	1.0	essential
b0785	moaE	0.0	1.0	essential
b0826	moeB	0.0	1.0	essential
b1062	pyrC	0.0	1.0	essential
b3941	metF	0.0	1.0	essential
b2103	thiD	0.0	1.0	essential
b0142	folK	0.0	1.0	essential
b3608	gpsA	0.0	1.0	essential
b2400	gltX	0.0	1.0	essential
b0003	thrB	0.0	1.0	essential
b1210	hemA	0.0	1.0	essential
b4013	metA	0.0	1.0	essential
