gene_id	name	dependency_score	essential	wt_biomass	ko_biomass
b1377	ompN	0.0	False	0.9823718127269785	0.9823718127269802
b0241	phoE	0.0	False	0.9823718127269785	0.9823718127269802
b0929	ompF	0.0	False	0.9823718127269785	0.9823718127269802
b2215	ompC	0.0	False	0.9823718127269785	0.9823718127269802
b0653	gltK	0.0	False	0.9823718127269785	0.9823718127269802
b0655	gltI	0.0	False	0.9823718127269785	0.9823718127269802
b0118	acnB	0.0	False	0.9823718127269785	0.9823718127269802
b1276	acnA	0.0	False	0.9823718127269785	0.9823718127269802
b4032	malG	0.0	False	0.9823718127269785	0.9823718127269802
b3359	argD	1.0	True	0.9823718127269785	0.0
b3528	dctA	3.0513926882397413e-15	False	0.9823718127269785	0.9823718127269755
b4033	malF	0.0	False	0.9823718127269785	0.9823718127269802
b4035	malK	0.0	False	0.9823718127269785	0.9823718127269802
b4034	malE	0.0	False	0.9823718127269785	0.9823718127269802
b4036	lamB	0.0	False	0.9823718127269785	0.9823718127269802
b4213	cpdB	0.0	False	0.9823718127269785	0.9823718127269802
b4123	dcuB	0.0	False	0.9823718127269785	0.9823718127269802
b2835	lplT	0.0	False	0.9823718127269785	0.9823718127269802
b4138	dcuA	0.0	False	0.9823718127269785	0.9823718127269802
b4077	gltP	0.0	False	0.9823718127269785	0.9823718127269802
b3503	arsC	0.0	False	0.9823718127269785	0.9823718127269802
b1064	grxB	0.0	False	0.9823718127269785	0.9823718127269802
b1747	astA	0.0	False	0.9823718127269785	0.9823718127269802
b1539	ydfG	0.0	False	0.9823718127269785	0.9823718127269802
b1748	astC	0.0	False	0.9823718127269785	0.9823718127269802
b1090	plsX	0.0	False	0.9823718127269785	0.9823718127269802
b3475	acpT	0.0	False	0.9823718127269785	0.9823718127269802
b2836	aas	0.010520690315262324	False	0.9823718127269785	0.9720365831108351
b2563	acpS	2.4863199681953447e-15	False	0.9823718127269785	0.982371812726976
b3553	ghrB	0.0	False	0.9823718127269785	0.9823718127269874
b2578	eamB	0.0	False	0.9823718127269785	0.9823718127269874
b1533	eamA	0.0	False	0.9823718127269785	0.9823718127269874
b2019	hisG	0.9999999999999994	True	0.9823718127269785	5.486248061023445e-16
b1134	nudJ	0.0	False	0.9823718127269785	0.9823718127269813
b3735	atpH	0.5903004379029563	False	0.9823718127269785	0.40247730149072214
b4067	actP	0.0	False	0.9823718127269785	0.9823718127269844
b0446	cof	8.815134432692587e-15	False	0.9823718127269785	0.9823718127269698
b1623	add	8.815134432692587e-15	False	0.9823718127269785	0.9823718127269698
b1096	pabC	0.9999999999985306	True	0.9823718127269785	1.4434920576465706e-12
b3739	atpI	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b3732	atpD	0.5903004379029576	False	0.9823718127269785	0.4024773014907208
b3737	atpE	0.5903004379029644	False	0.9823718127269785	0.40247730149071415
b3733	atpG	0.5903004379029644	False	0.9823718127269785	0.40247730149071415
b3734	atpA	0.5903004379029644	False	0.9823718127269785	0.40247730149071415
b3738	atpB	0.5903004379029644	False	0.9823718127269785	0.40247730149071415
b1009	rutD	1.446586163313655e-14	False	0.9823718127269785	0.9823718127269643
b1812	pabB	0.9999999999985306	True	0.9823718127269785	1.4434920576465706e-12
b0180	fabZ	1.0	True	0.9823718127269785	0.0
b3360	pabA	1.0	True	0.9823718127269785	0.0
b3731	atpC	0.5903004379029528	False	0.9823718127269785	0.40247730149072547
b3736	atpF	0.5903004379029746	False	0.9823718127269785	0.40247730149070415
b0954	fabA	1.3561745281065517e-14	False	0.9823718127269785	0.9823718127269652
b3665	adeD	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
b0347	mhpA	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
b3654	xanP	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
b0312	betB	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
b3580	lyxK	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
b3714	adeP	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
b1093	fabG	0.9999999999999784	True	0.9823718127269785	2.1314973508726607e-14
b1095	fabF	0.0	False	0.9823718127269785	0.9823718127269802
b2323	fabB	1.0	True	0.9823718127269785	-1.9400888411482192e-17
b0474	adk	0.0	False	0.9823718127269785	0.9823718127269933
b0120	speD	0.0	False	0.9823718127269785	0.9823718127269934
b0827	moeA	1.0	True	0.9823718127269785	-1.764766283353852e-15
b1397	paaJ	0.0	False	0.9823718127269785	0.9823718127269875
b3857	mobA	1.0	True	0.9823718127269785	-1.0993846592890865e-15
b3856	mobB	0.0	False	0.9823718127269785	0.9823718127269928
b4214	cysQ	1.0	True	0.9823718127269785	-7.873239220491367e-15
b3806	cyaA	0.0	False	0.9823718127269785	0.9823718127269802
b1245	oppC	0.0	False	0.9823718127269785	0.9823718127269917
b0030	rihC	0.0	False	0.9823718127269785	0.9823718127269917
b3551	bisC	0.0	False	0.9823718127269785	0.9823718127269917
b1246	oppD	0.0	False	0.9823718127269785	0.9823718127269917
b0775	bioB	0.9999999999999996	True	0.9823718127269785	3.8993700139490535e-16
b1329	mppA	0.0	False	0.9823718127269785	0.9823718127269799
b0933	ssuB	0.0	False	0.9823718127269785	0.9823718127269833
b2393	nupC	0.0	False	0.9823718127269785	0.9823718127269833
b1247	oppF	0.0	False	0.9823718127269785	0.9823718127269833
b1244	oppB	0.0	False	0.9823718127269785	0.9823718127269833
b1386	tynA	0.0	False	0.9823718127269785	0.9823718127269833
b0366	tauB	0.0	False	0.9823718127269785	0.9823718127269833
b0367	tauC	0.0	False	0.9823718127269785	0.9823718127269833
b0004	thrC	1.0	True	0.9823718127269785	-1.994783204005336e-16
b0934	ssuC	0.0	False	0.9823718127269785	0.9823718127269861
b0365	tauA	0.0	False	0.9823718127269785	0.9823718127269833
b0936	ssuA	0.0	False	0.9823718127269785	0.9823718127269833
b1192	ldcA	0.0	False	0.9823718127269785	0.9823718127269833
b1216	chaA	0.0	False	0.9823718127269785	0.9823718127269833
b1243	oppA	0.0	False	0.9823718127269785	0.9823718127269833
b4266	idnO	0.0	False	0.9823718127269785	0.9823718127269833
b4132	cadB	0.0	False	0.9823718127269785	0.9823718127269833
b4265	idnT	0.0	False	0.9823718127269785	0.9823718127269833
b0159	mtn	1.0	True	0.9823718127269785	-5.657453245695821e-16
b3942	katG	0.0	False	0.9823718127269785	0.9823718127269806
b2708	srlQ	0.0	False	0.9823718127269785	0.9823718127269917
b1732	katE	0.0	False	0.9823718127269785	0.9823718127269917
b2964	nupG	0.0	False	0.9823718127269785	0.9823718127269917
b3197	kdsD	0.0	False	0.9823718127269785	0.9823718127269917
b2406	xapB	0.0	False	0.9823718127269785	0.9823718127269917
b0411	tsx	0.0	False	0.9823718127269785	0.9823718127269917
b3196	yrbG	0.9999999999999997	True	0.9823718127269785	3.7308319505011895e-16
b1094	acpP	1.0	True	0.9823718127269785	-3.2499319022210857e-16
b4481	wecF	0.0	False	0.9823718127269785	0.982371812726996
b1270	btuR	0.0	False	0.9823718127269785	0.9823718127269815
b1927	amyA	0.0	False	0.9823718127269785	0.9823718127269815
b2874	yqeA	0.0	False	0.9823718127269785	0.9823718127269815
b1992	cobS	0.0	False	0.9823718127269785	0.9823718127269815
b0158	btuF	0.0	False	0.9823718127269785	0.9823718127269815
b3571	malS	0.0	False	0.9823718127269785	0.9823718127269815
b1709	btuD	0.0	False	0.9823718127269785	0.9823718127269815
b0323	yahI	0.0	False	0.9823718127269785	0.9823718127269815
b2901	bglA	0.0	False	0.9823718127269785	0.9823718127269815
b0521	ybcF	0.0	False	0.9823718127269785	0.9823718127269815
b0032	carA	0.0	False	0.9823718127269785	0.9823718127269815
b1711	btuC	0.0	False	0.9823718127269785	0.9823718127269815
b2662	gabT	0.0	False	0.9823718127269785	0.9823718127269815
b3966	btuB	0.0	False	0.9823718127269785	0.9823718127269815
b1252	tonB	0.0	False	0.9823718127269785	0.9823718127269815
b0033	carB	0.0	False	0.9823718127269785	0.9823718127269815
b1302	puuE	0.0	False	0.9823718127269785	0.9823718127269815
b0444	queC	0.0	False	0.9823718127269785	0.9823718127269815
b3006	exbB	0.0	False	0.9823718127269785	0.9823718127269815
b3005	exbD	0.0	False	0.9823718127269785	0.9823718127269815
b1444	patD	0.0	False	0.9823718127269785	0.9823718127269815
b3397	nudE	0.0	False	0.9823718127269785	0.9823718127269815
b3469	zntA	0.0	False	0.9823718127269785	0.9823718127269815
b2663	gabP	0.0	False	0.9823718127269785	0.9823718127269815
b3915	fieF	0.0	False	0.9823718127269785	0.9823718127269815
b2221	atoD	0.0	False	0.9823718127269785	0.9823718127269815
b0752	zitB	0.0	False	0.9823718127269785	0.9823718127269815
b3034	nudF	0.0	False	0.9823718127269785	0.9823718127269815
b2222	atoA	0.0	False	0.9823718127269785	0.9823718127269815
b0469	apt	0.0	False	0.9823718127269785	0.9823718127269815
b3040	zupT	0.9999999999999989	True	0.9823718127269785	1.0993846592890865e-15
b2224	atoB	0.0	False	0.9823718127269785	0.9823718127269864
b2750	cysC	0.9999999999999997	True	0.9823718127269785	3.8555727624395214e-16
b2342	fadI	0.0	False	0.9823718127269785	0.9823718127269868
b1131	purB	1.0	True	0.9823718127269785	-1.4349053149406393e-15
b3918	cdh	2.0342617921598277e-14	False	0.9823718127269785	0.9823718127269585
b3845	fadA	6.6678580965238795e-15	False	0.9823718127269785	0.9823718127269719
b2794	queF	6.6678580965238795e-15	False	0.9823718127269785	0.9823718127269719
b2223	atoE	6.6678580965238795e-15	False	0.9823718127269785	0.9823718127269719
b1208	ispE	0.9999999999999996	True	0.9823718127269785	4.598698315274867e-16
b4177	purA	0.9999999999999915	True	0.9823718127269785	8.468538131746158e-15
b0351	mhpF	0.0	False	0.9823718127269785	0.9823718127269796
b0677	nagA	0.0	False	0.9823718127269785	0.9823718127269844
b1661	cfa	0.0	False	0.9823718127269785	0.9823718127269844
b1241	adhE	0.0	False	0.9823718127269785	0.9823718127269844
s0001		1.0	True	0.9823718127269785	0.0
b2130	yehY	8.589105344674827e-15	False	0.9823718127269785	0.98237181272697
b2129	yehX	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
b2128	yehW	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
b2131	osmF	3.616465408284138e-15	False	0.9823718127269785	0.9823718127269749
