gene	b_number	first_gen	fba_dep_full	fba_dep_ltee_env	string_ppi_degree
mokC	b0018	0	NA	NA	NA
mutT	b0099	1000	0.0	0.0	14
dnaE	b0184	0	NA	NA	82
yahL	b0326	52000	NA	NA	8
yahO	b0329	21000	NA	NA	8
prpR	b0330	0	NA	NA	6
mhpR	b0346	500	NA	NA	18
yaiO	b0358	53500	NA	NA	2
dxs	b0420	7500	1.0	1.0	30
mdlA	b0448	0	NA	NA	18
kefA	b0465	0	NA	NA	4
ybaL	b0478	2500	NA	NA	NA
copA	b0484	4000	0.0	2.3733054241864654e-15	14
ybbN	b0492	0	NA	NA	32
ppiB	b0525	24500	NA	NA	12
ybcK	b0544	45000	NA	NA	2
cusS	b0570	12500	NA	NA	30
cusS	b0570	21500	NA	NA	30
cusR	b0571	10000	NA	NA	22
tatE	b0627	23000	NA	NA	14
tatE	b0627	23000	NA	NA	14
hscC	b0650	11500	0.0	2.147276336168707e-15	18
asnB	b0674	0	0.0	4.9726399363906895e-15	38
galE	b0759	37500	0.0	3.1644072322486206e-15	30
ybiX	b0804	1000	NA	NA	16
ybiF	b0813	37500	0.0	6.215799920488362e-15	6
ybiF	b0813	44000	0.0	6.215799920488362e-15	6
ybiP	b0815	8500	NA	NA	4
ybiR	b0818	24500	NA	NA	2
ybjG	b0841	4000	0.0	3.1644072322486206e-15	12
ybjX	b0877	2500	NA	NA	NA
cydC	b0886	1000	0.0	1.130145440088793e-14	78
pflB	b0903	50000	0.0	2.147276336168707e-15	148
cmk	b0910	11500	0.0020424841906935397	0.0022459383617650405	54
ycbB	b0925	4500	NA	NA	26
pncB	b0931	45500	0.0	2.599334512204224e-15	36
ycbQ	b0938	39000	NA	NA	10
ycbU	b0942	16000	NA	NA	12
yccV	b0966	39000	NA	NA	8
appB	b0979	44000	0.0	0.0	38
yccE	b1001	500	NA	NA	6
ycdC	b1013	14000	NA	NA	6
ycdC	b1013	5500	NA	NA	6
ycdS	b1024	8000	NA	NA	12
ycdS	b1024	19500	NA	NA	12
yceK	b1050	5500	NA	NA	4
yceE	b1053	20500	NA	NA	16
plsX	b1090	16500	0.0	0.0	66
yceG	b1097	4500	NA	NA	42
ycfD	b1128	40000	NA	NA	6
ycgG	b1168	9000	NA	NA	28
ycgL	b1179	22000	NA	NA	2
dhaR	b1201	4500	NA	NA	10
chaA	b1216	25000	0.0	0.0	12
narK	b1223	4500	0.0	0.0	36
narG	b1224	23000	0.0	3.1644072322486206e-15	42
oppB	b1244	18500	0.0	0.0	54
tonB	b1252	500	1.0	0.0	52
yciA	b1253	45000	NA	NA	16
cysB	b1275	2500	NA	NA	16
pgpB	b1278	21000	0.0	1.5822036161243103e-15	32
yciR	b1285	2000	NA	NA	44
sapB	b1293	0	NA	NA	50
ycjV	b1318	29000	NA	NA	NA
ycjY	b1327	0	NA	NA	6
mppA	b1329	0	0.0	0.0	44
mppA	b1329	18000	0.0	0.0	44
ynbD	b1411	35500	NA	NA	24
gapC	b4493	39000	NA	NA	NA
hokB	b4428	500	NA	NA	18
yncB	b1449	20500	NA	NA	NA
narV	b1465	7500	0.0	3.1644072322486206e-15	28
pqqL	b1494	29500	NA	NA	16
pqqL	b1494	31500	NA	NA	16
ydeT	b1505	1000	NA	NA	NA
sotB	b1528	37000	0.0	0.0	NA
sotB	b1528	37500	0.0	0.0	NA
ydeE	b1534	27500	NA	NA	6
ynfB	b1583	3000	NA	NA	4
rstB	b1609	37500	NA	NA	24
gst	b1635	0	NA	NA	22
nemA	b1650	14500	NA	NA	8
pykF	b1676	4500	0.0	1.469189072115431e-15	208
pykF	b1676	2000	0.0	1.469189072115431e-15	208
sufB	b1683	4000	0.0	0.0	30
ydiR	b1698	21500	NA	NA	26
ydiA	b1703	6500	NA	NA	8
ydiA	b1703	19000	NA	NA	8
thrS	b1719	16000	0.0	0.0	122
celA	b1738	27500	NA	NA	22
ydjQ	b1741	45500	NA	NA	12
astE	b1744	36000	0.0	1.469189072115431e-15	28
ynjI	b1762	4000	NA	NA	14
yeaE	b1781	28000	0.0	0.0	NA
otsA	b1896	4000	0.0	3.616465408284138e-15	50
shiA	b1981	9000	0.0	8.13704716863931e-15	2
cobS	b1992	34500	0.0	0.0	14
udk	b2066	1000	0.0	0.0	38
yegI	b2070	2000	NA	NA	10
yegB	b2077	1000	NA	NA	16
yegV	b2100	10500	NA	NA	12
yegX	b2102	35500	NA	NA	NA
molR	b4499	9500	NA	NA	NA
yeiG	b2154	0	0.0	1.469189072115431e-15	16
yeiQ	b2172	48000	NA	NA	6
bcr	b2182	9000	NA	NA	2
yejO	b2190	38500	NA	NA	NA
ccmA	b2201	5000	0.0	0.0	38
ccmA	b2201	11000	0.0	0.0	38
ompC	b2215	0	0.0	0.0	94
atoB	b2224	45500	0.0	0.0	96
yfaL	b2233	42000	NA	NA	64
arnT	b2257	23000	0.0	1.796931249741181e-14	44
menC	b2261	3000	1.0	0.0	24
yfbB	b2263	1500	1.0	0.0	28
nuoA	b2288	0	0.11094232413376082	0.11072915513569376	52
accD	b2316	0	1.0	1.0	88
emrY	b2367	34500	NA	NA	32
ypdD	b2383	53000	NA	NA	46
yfeA	b2395	4000	NA	NA	38
acrD	b2470	0	0.0	0.0	52
uraA	b2497	0	0.0	0.0	28
pepB	b2523	39500	0.0	2.8253636002219827e-15	36
iscR	b2531	31500	NA	NA	30
yfhR	b2534	35000	NA	NA	NA
yfiH	b2593	40000	NA	NA	4
yfjD	b4461	31500	NA	NA	2
gabD	b2661	31000	0.0	1.469189072115431e-15	58
pphB	b2734	25000	NA	NA	2
recB	b2820	0	NA	NA	52
galR	b2837	4000	NA	NA	10
kduD	b2842	1000	NA	NA	30
ygeZ	b2873	38500	NA	NA	38
xdhD	b2881	49000	NA	NA	38
yggB	b2924	21000	NA	NA	8
mutY	b2961	500	NA	NA	34
yghB	b3009	33000	NA	NA	8
yghB	b3009	0	NA	NA	8
ygiZ	b3027	0	NA	NA	6
ygiC	b3038	28500	NA	NA	6
yhaB	b3120	56500	NA	NA	8
dacB	b3182	9500	0.0	1.1866527120932328e-14	46
mtgA	b3208	53500	NA	NA	26
gltB	b3212	6500	0.0	3.390436320266379e-16	134
gltB	b3212	19000	0.0	3.390436320266379e-16	134
rplN	b3310	500	NA	NA	264
gspA	b3323	17000	NA	NA	20
gspL	b3333	19500	NA	NA	30
yheO	b3346	500	NA	NA	6
argD	b3359	1500	1.0	1.0	30
glgP	b3428	5000	0.0	1.796931249741181e-14	32
yhhA	b3448	9000	NA	NA	2
ftsX	b3462	11500	NA	NA	36
ftsY	b3464	1000	NA	NA	104
yhiJ	b3488	34500	NA	NA	4
yhiO	b3494	6000	NA	NA	22
yhiP	b3496	10000	0.0	1.796931249741181e-14	2
malS	b3571	19500	0.0	0.0	26
yiaT	b3584	6000	NA	NA	8
yibA	b3594	0	NA	NA	4
yibG	b3596	30000	NA	NA	2
pyrE	b3642	0	1.0	1.0	48
yicG	b3646	5500	NA	NA	NA
yicF	b3647	27000	NA	NA	4
glmU	b3730	1000	1.0	1.0	34
yieO	b3754	500	NA	NA	8
yifB	b3765	27000	NA	NA	10
ilvG	b4488	0	NA	NA	NA
ppiC	b3775	49000	NA	NA	6
aslB	b3800	4500	NA	NA	10
rhtB	b3824	13000	0.0	6.215799920488362e-15	4
ysgA	b3830	43000	NA	NA	2
yihG	b3862	5500	NA	NA	NA
rhaT	b3907	0	0.0	3.390436320266379e-16	12
pflC	b3952	2000	0.0	8.13704716863931e-15	16
yjaH	b4001	0	NA	NA	8
purD	b4005	47000	1.0	1.0	48
iclR	b4018	6500	NA	NA	20
metH	b4019	5500	0.0	0.0	70
metH	b4019	37500	0.0	0.0	70
metH	b4019	4000	0.0	0.0	70
lamB	b4036	8000	0.0	0.0	66
nrfE	b4074	0	NA	NA	26
frdA	b4154	5500	0.0	0.0	96
cycA	b4208	6500	0.0011365097687922477	0.0006478893703036469	4
yjgA	b4234	0	NA	NA	66
yjgN	b4257	32000	NA	NA	10
yjgN	b4257	45500	NA	NA	10
yjgB	b4269	1500	NA	NA	22
yjhB	b4279	53000	NA	NA	10
fimA	b4314	1000	NA	NA	68
hsdS	b4348	17500	NA	NA	20
hsdS	b4348	20500	NA	NA	20
hsdS	b4348	4500	NA	NA	20
hsdS	b4348	20000	NA	NA	20
hsdS	b4348	21000	NA	NA	20
hsdS	b4348	17500	NA	NA	20
mdoB	b4359	0	NA	NA	8
