b_number	gene_name	ppi_degree	ppi_betweenness	ppi_eigen	met_degree	met_betweenness	met_eigen	fba_dep_full	fba_dep_ltee	ppi_degree_norm	ppi_eigen_norm	ppi_betweenness_norm	met_degree_norm	met_eigen_norm	fba_dep_ltee_norm	composite_integration	ppi_composite	met_composite
b1377	ompN	92	0.0014820952279383296	0.0008865003988613063	400	0.006437144874496549	0.04525060484674746	0.0	0.0	0.17692307692307693	0.012062562907423658	0.026331767988501495	0.7975951903807614	0.7906313799470878	0.0	0.35544244203166997	0.0944928199152503	0.7941132851639245
b0241	phoE	124	0.003341255275165044	0.0019961649945181162	397	0.0063093999994094	0.04398264840949518	0.0	0.0	0.23846153846153847	0.02716170895230351	0.059362689412602025	0.7915831663326652	0.7684483341466417	0.0	0.3651309495786298	0.13281162370692098	0.7800157502396534
b0929	ompF	166	0.0034383961229120185	0.002220196770142711	393	0.007298166003902876	0.04319316625435335	0.0	0.0	0.31923076923076926	0.03021009718789221	0.061088550353830366	0.783567134268537	0.7546362517346483	0.0	0.37752885048436935	0.17472043320933073	0.7691016930015926
b2215	ompC	163	0.00297280672723045	0.0020881599190065306	387	0.007110571297118207	0.04236919626296973	0.0	0.0	0.31346153846153846	0.02841347890664371	0.0528166176777852	0.7715430861723446	0.7402208006039568	0.0	0.3707277808288967	0.17093750868409108	0.7558819433881507
b0653	gltK	195	0.0009731067528864905	0.0728955224419411	372	0.0024476137429645466	0.05273045185121293	0.0	0.0	0.375	0.9918854252687096	0.017288781963555	0.7414829659318637	0.921492175953578	0.0	0.6059721134308302	0.6834427126343547	0.8314875709427209
b0655	gltI	194	0.0005949927408986493	0.07283073660496572	328	0.0018135955045226549	0.044256807441843814	0.0	0.0	0.3730769230769231	0.9910038878942996	0.010570987958702028	0.6533066132264529	0.7732447784033348	0.0	0.558126440520202	0.6820404054856113	0.7132756958148938
b0118	acnB	64	0.00013106494528217563	0.0002615412214034652	71	7.084354407423369e-05	0.008213229924185073	0.0	0.0	0.12307692307692308	0.0035587772324931545	0.002328576238246613	0.1382765531062124	0.14265818457774043	0.0	0.08151408759867382	0.06331785015470812	0.14046736884197641
b1276	acnA	116	0.0005852646487954674	0.0006452812388930402	111	0.0001503046819348277	0.014250523980446331	0.0	0.0	0.2230769230769231	0.00878030686407547	0.01039815300221405	0.21843687374749496	0.24828134845474795	0.0	0.1397150904286483	0.11592861497049928	0.23335911110112145
b4032	malG	200	0.0004162227667163725	0.0730022012502074	318	0.00227971335776474	0.047112287167381084	0.0	0.0	0.38461538461538464	0.99333699803422	0.007394856361526418	0.6332665330661322	0.8232017293464651	0.0	0.5668841290124405	0.6889761913248024	0.7282341312062987
b3359	argD	65	0.0010976304792101191	0.0015163732214121292	64	3.0796263160820956e-05	0.0067465288739531745	1.0	1.0	0.125	0.02063320828497243	0.019501143091779263	0.12424849699398796	0.11699807858595786	1.0	0.27737595677298366	0.07281660414248621	0.12062328778997292
