year,cumulative_patents,source
1836,1,USPTO_OWID
1837,1,USPTO_OWID
1838,1,USPTO_OWID
1839,1,USPTO_OWID
1840,1,USPTO_OWID
1841,2,USPTO_OWID
1842,2,USPTO_OWID
1843,2,USPTO_OWID
1844,2,USPTO_OWID
1845,2,USPTO_OWID
1846,2,USPTO_OWID
1847,2,USPTO_OWID
1848,2,USPTO_OWID
1849,2,USPTO_OWID
1850,2,USPTO_OWID
1851,2,USPTO_OWID
1852,2,USPTO_OWID
1853,2,USPTO_OWID
1854,2,USPTO_OWID
1855,2,USPTO_OWID
1856,2,USPTO_OWID
1857,2,USPTO_OWID
1858,2,USPTO_OWID
1859,2,USPTO_OWID
1860,2,USPTO_OWID
1861,2,USPTO_OWID
1862,2,USPTO_OWID
1863,3,USPTO_OWID
1864,3,USPTO_OWID
1865,3,USPTO_OWID
1866,3,USPTO_OWID
1867,4,USPTO_OWID
1868,4,USPTO_OWID
1869,4,USPTO_OWID
1870,4,USPTO_OWID
1871,4,USPTO_OWID
1872,4,USPTO_OWID
1873,4,USPTO_OWID
1874,4,USPTO_OWID
1875,4,USPTO_OWID
1876,4,USPTO_OWID
1877,5,USPTO_OWID
1878,5,USPTO_OWID
1879,5,USPTO_OWID
1880,5,USPTO_OWID
1881,5,USPTO_OWID
1882,5,USPTO_OWID
1883,5,USPTO_OWID
1884,5,USPTO_OWID
1885,5,USPTO_OWID
1886,5,USPTO_OWID
1887,5,USPTO_OWID
1888,5,USPTO_OWID
1889,5,USPTO_OWID
1890,5,USPTO_OWID
1891,5,USPTO_OWID
1892,5,USPTO_OWID
1893,5,USPTO_OWID
1894,5,USPTO_OWID
1895,5,USPTO_OWID
1896,5,USPTO_OWID
1897,5,USPTO_OWID
1898,5,USPTO_OWID
1899,5,USPTO_OWID
1900,5,USPTO_OWID
1901,6,USPTO_OWID
1902,7,USPTO_OWID
1903,8,USPTO_OWID
1904,9,USPTO_OWID
1905,10,USPTO_OWID
1906,11,USPTO_OWID
1907,13,USPTO_OWID
1908,15,USPTO_OWID
1909,18,USPTO_OWID
1910,21,USPTO_OWID
1911,26,USPTO_OWID
1912,32,USPTO_OWID
1913,38,USPTO_OWID
1914,45,USPTO_OWID
1915,53,USPTO_OWID
1916,63,USPTO_OWID
1917,74,USPTO_OWID
1918,86,USPTO_OWID
1919,99,USPTO_OWID
1920,113,USPTO_OWID
1921,129,USPTO_OWID
1922,146,USPTO_OWID
1923,166,USPTO_OWID
1924,188,USPTO_OWID
1925,212,USPTO_OWID
1926,239,USPTO_OWID
1927,269,USPTO_OWID
1928,302,USPTO_OWID
1929,338,USPTO_OWID
1930,378,USPTO_OWID
1931,421,USPTO_OWID
1932,468,USPTO_OWID
1933,519,USPTO_OWID
1934,574,USPTO_OWID
1935,633,USPTO_OWID
1936,697,USPTO_OWID
1937,766,USPTO_OWID
1938,840,USPTO_OWID
1939,920,USPTO_OWID
1940,1006,USPTO_OWID
1941,1098,USPTO_OWID
1942,1196,USPTO_OWID
1943,1301,USPTO_OWID
1944,1413,USPTO_OWID
1945,1533,USPTO_OWID
1946,1659,USPTO_OWID
1947,1793,USPTO_OWID
1948,1935,USPTO_OWID
1949,2086,USPTO_OWID
1950,2246,USPTO_OWID
1951,2415,USPTO_OWID
1952,2594,USPTO_OWID
1953,2783,USPTO_OWID
1954,2982,USPTO_OWID
1955,3192,USPTO_OWID
1956,3413,USPTO_OWID
1957,3646,USPTO_OWID
1958,3891,USPTO_OWID
1959,4149,USPTO_OWID
1960,4420,USPTO_OWID
1961,4704,USPTO_OWID
1962,5002,USPTO_OWID
1963,5315,USPTO_OWID
1964,5643,USPTO_OWID
1965,5987,USPTO_OWID
1966,6348,USPTO_OWID
1967,6726,USPTO_OWID
1968,7122,USPTO_OWID
1969,7536,USPTO_OWID
1970,7969,USPTO_OWID
1971,8421,USPTO_OWID
1972,8893,USPTO_OWID
1973,9386,USPTO_OWID
1974,9900,USPTO_OWID
1975,10436,USPTO_OWID
1976,10994,USPTO_OWID
1977,11575,USPTO_OWID
1978,12180,USPTO_OWID
1979,12809,USPTO_OWID
1980,13463,USPTO_OWID
1981,14142,USPTO_OWID
1982,14847,USPTO_OWID
1983,15579,USPTO_OWID
1984,16338,USPTO_OWID
1985,17125,USPTO_OWID
1986,17941,USPTO_OWID
1987,18786,USPTO_OWID
1988,19661,USPTO_OWID
1989,20567,USPTO_OWID
1990,21504,USPTO_OWID
1991,22473,USPTO_OWID
1992,23475,USPTO_OWID
1993,24510,USPTO_OWID
1994,25579,USPTO_OWID
1995,26683,USPTO_OWID
1996,27822,USPTO_OWID
1997,28997,USPTO_OWID
1998,30209,USPTO_OWID
1999,31459,USPTO_OWID
2000,32748,USPTO_OWID
2001,34077,USPTO_OWID
2002,35446,USPTO_OWID
2003,36856,USPTO_OWID
2004,38307,USPTO_OWID
2005,39751,USPTO_OWID
2006,41207,USPTO_OWID
2007,42667,USPTO_OWID
2008,44131,USPTO_OWID
2009,45596,USPTO_OWID
2010,47057,USPTO_OWID
2011,48515,USPTO_OWID
2012,49967,USPTO_OWID
2013,51415,USPTO_OWID
2014,52863,USPTO_OWID
2015,54318,USPTO_OWID
2016,55782,USPTO_OWID
2017,57266,USPTO_OWID
2018,58773,USPTO_OWID
2019,60307,USPTO_OWID
2020,61872,USPTO_OWID
2021,63467,USPTO_OWID
2022,65096,USPTO_OWID
2023,66760,USPTO_OWID
